Duration,Init,Name,Concat Size,Convergence Epoch,Layers,Learning Rate,Loss,Loss Val,Mae Test,Qubits,Rmse Test,Training Time,User,237.9682116,,209.88,265.62,,,suma total cuadr
26.3min,xavier,sp50016121Xavier,16,40,6,0.0005,0.000721932,0.061599608,42.02688697,12,46.68504389,883.4561365,52333,36589.25024,14416164.6,26632.5937,,818.5321,,588.6397916
11.2min,xavier,sp50016101Xavier,16,37,5,0.0005,9.37E-05,0.152358714,68.80488505,10,73.4213633,211.72228,52333,27075.66528,10667812.12,18620.95953,,655.8721,,32.92579161
4.3min,xavier,sp5001681Xavier,16,7,4,0.0005,0.005451949,0.371051436,110.9263773,8,114.579218,28.06375003,52333,15224.84374,5998588.434,9082.239051,,19.2721,,32.92579161
3.0min,xavier,sp5001661Xavier,16,7,3,0.0005,0.005110697,0.382579917,112.6649085,6,116.3455775,17.61520767,52333,14792.06511,5828073.655,8748.688185,,19.2721,,1040.830192
2.2min,xavier,sp5001641Xavier,16,45,2,0.0005,3.22E-05,0.090613541,52.0224587,4,56.62201843,12.57987714,52333,32886.44177,12957258.06,23488.00891,,1129.6321,,264.4493916
1.1min,xavier,sp5001621Xavier,16,29,1,0.0005,0.004517476,0.370191302,110.9119176,2,114.4463379,5.865332603,52333,15257.65327,6011515.388,9107.583853,,310.1121,,59.87819161
,xavier,btc_md16129Xavier,16,5,6,0.0005,7.78E-05,6.25E-05,,12,,612.4977655,52333,56628.86973,22311774.67,44049.6144,,40.8321,,59.87819161
14.7min,xavier,btc_md16109Xavier,16,5,5,0.0005,0.00010926,9.16E-05,1726.351394,10,1025.509249,315.0881326,52333,620220.8849,244367028.6,665251.0711,,40.8321,,59.87819161
1.2h,xavier,btc_md1689Xavier,16,5,4,0.0005,0.000148583,8.35E-05,1719.511064,8,979.2313177,80.18675137,52333,549470.9925,216491571.1,591901.4501,,40.8321,,59.87819161
4.8min,xavier,btc_md1669Xavier,16,5,3,0.0005,0.000114662,5.69E-05,1402.319617,6,808.3455228,42.96457672,52333,325330.2771,128180129.2,358160.982,,40.8321,,59.87819161
3.9min,xavier,btc_md1649Xavier,16,5,2,0.0005,0.000136376,4.17E-05,1128.696741,4,692.3175279,25.76224661,52333,206433.3012,81334720.68,232745.9683,,40.8321,,59.87819161
2.9min,xavier,btc_md1629Xavier,16,5,1,0.0005,0.000151878,0.000249954,3120.506249,2,1695.635777,47.02300453,52333,2124794.731,837169124.1,2207470.229,,40.8321,,7.49719161
1.3h,xavier,sp500_md16129Xavier,16,10,6,0.0005,0.002997557,0.001339921,9.996494089,12,9.729999375,1125.062254,52333,52092.68151,20524516.52,40060.02275,,1.9321,,13.97339161
17.2min,xavier,sp500_md16109Xavier,16,9,5,0.0005,0.001389255,0.001097022,9.416104992,10,8.804182831,455.4348106,52333,52516.15208,20691363.92,40431.48425,,5.7121,,13.97339161
55.2min,xavier,sp500_md1689Xavier,16,9,4,0.0005,0.001303233,0.001428594,10.25793777,8,10.04846035,121.3803341,52333,51947.41301,20467280.72,39932.64424,,5.7121,,7.49719161
8.0min,xavier,sp500_md1669Xavier,16,10,3,0.0005,0.000502693,0.000904712,8.182179232,6,7.994909886,120.4496918,52333,52887.7195,20837761.48,40757.58961,,1.9321,,7.49719161
4.9min,xavier,sp500_md1649Xavier,16,10,2,0.0005,0.000985519,0.001738317,11.91218307,4,11.0835165,26.98419404,52333,51476.66487,20281805.96,39520.04185,,1.9321,,0.54479161
3.9min,xavier,sp500_md1629Xavier,16,12,1,0.0005,0.000545982,0.001537619,11.51505109,2,10.42331833,59.21517873,52333,51776.67845,20400011.31,39782.96786,,0.3721,,5.11619161
1.2h,xavier,mackey16129Xavier,16,15,6,0.0005,0.007911888,0.007382873,0.061581108,12,0.077214386,289.8497887,52333,56592.12655,22297297.86,44017.20885,,13.0321,,32.92579161
3.4min,xavier,mackey16109Xavier,16,7,5,0.0005,0.064038892,0.063030722,0.188366277,10,0.225611726,78.08772993,52333,56521.54379,22269488.25,43954.96252,,19.2721,,39.21139161
